prediction_class_0,prediction_class_1,prediction_class_2,IsSunday,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,TimeOfDay,GameOfDay,GameOfWeek,EloDifference,TimeSinceLast
0.40174165,0.19038902,0.40786934,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.48182988,0.15270905,0.36546108,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.44426823,0.19385664,0.36187512,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.36612064,0.27905235,0.354827,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.36753723,0.22041905,0.4120437,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.36694768,0.26239604,0.37065628,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.27663267,0.36076742,0.36259997,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.45167205,0.1725553,0.37577266,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5327528,0.13611528,0.33113188,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.49206886,0.17529611,0.33263502,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.43227243,0.24763976,0.32008782,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.41629404,0.20126025,0.38244575,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.41593984,0.23976932,0.34429085,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3110164,0.34079626,0.34818736,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4231318,0.13486265,0.44200552,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5016133,0.10692054,0.39146617,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.46567708,0.13857472,0.39574817,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.40044686,0.20356236,0.3959908,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.39110723,0.15774828,0.45114446,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.37044036,0.2325005,0.39705914,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.31000537,0.2719031,0.4180915,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.47327226,0.121601015,0.4051267,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5520745,0.094863676,0.35306185,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5132868,0.12470114,0.362012,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.46780938,0.17874049,0.35345018,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.44045138,0.14321113,0.4163375,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.41940972,0.21220423,0.368386,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.34616187,0.25510085,0.39873722,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3823195,0.23727107,0.38040942,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
