Account,GameNumber,MoveNumber,Move,Time
Cosmos_IV,1,1,d4,.. d6
Cosmos_IV,1,1,c4,.. a5
Cosmos_IV,1,2,d5,.. c5
Cosmos_IV,1,2,e4,.. e5
Cosmos_IV,1,3,Nc3,.. Ne7
Cosmos_IV,1,3,b3,.. g6
Cosmos_IV,1,4,Bg5,.. h6
Cosmos_IV,1,4,Bxe7,.. Bxe7
Cosmos_IV,1,5,Be2,.. g5
Cosmos_IV,1,5,g4,.. h5
Cosmos_IV,1,6,h3,.. f6
Cosmos_IV,1,6,Qd2,.. Na6
Cosmos_IV,1,7,O-O-O,.. Nb4
Cosmos_IV,1,7,a3,.. Na6
Cosmos_IV,1,8,Qb2,.. Bd7
Cosmos_IV,1,8,gxh5,.. f5
Cosmos_IV,1,9,Rd3,.. g4
Cosmos_IV,1,9,hxg4,.. Bg5+
Cosmos_IV,1,10,Kd1,.. fxg4
Cosmos_IV,1,10,Rg3,.. Qf6
Cosmos_IV,1,11,f3,.. Rg8
Cosmos_IV,1,11,fxg4,.. Bf4
Cosmos_IV,1,12,Rf3,.. Bxg4
Cosmos_IV,1,12,Rf2,.. Bxe2+
Cosmos_IV,1,13,Qxe2,.. O-O-O
Cosmos_IV,1,13,Nh3,.. Rdf8
Cosmos_IV,1,14,Rhf1,.. Qh6
Cosmos_IV,1,14,Nxf4,.. exf4
Cosmos_IV,1,15,Rh2,.. Rg3
Cosmos_IV,1,15,Rf3,.. Rg1+
Cosmos_IV,1,16,Kd2,.. Ra1
Cosmos_IV,1,16,a4,.. Ra3
Cosmos_IV,1,17,Ke1,.. Rxb3
Cosmos_IV,1,17,Nd1,.. Rb1
Cosmos_IV,1,18,Qc2,.. Ra1
Cosmos_IV,1,18,Qb2,.. Rxa4
Cosmos_IV,1,19,Qb3,.. Ra1
Cosmos_IV,1,19,Ra2,.. Rxa2
Cosmos_IV,1,20,Qxa2,.. Qxh5
Cosmos_IV,1,20,Qa3,.. Nb4
Cosmos_IV,1,21,Rh3,.. Nc2+
Cosmos_IV,2,1,e4,.. Nc6
Cosmos_IV,2,1,Nf3,.. e5
Cosmos_IV,2,2,Bc4,.. a6
Cosmos_IV,2,2,d4,.. b5
Cosmos_IV,2,3,Bd5,.. Nf6
Cosmos_IV,2,3,Bxc6,.. dxc6
Cosmos_IV,2,4,dxe5,.. Nxe4
Cosmos_IV,2,4,Qxd8+,.. Kxd8
Cosmos_IV,2,5,O-O,.. Bf5
Cosmos_IV,2,5,Rd1+,.. Kc8
Cosmos_IV,2,6,Bg5,.. f6
Cosmos_IV,2,6,Rd4,.. fxg5
Cosmos_IV,2,7,g4,.. Bxg4
Cosmos_IV,2,7,Kg2,.. h5
Cosmos_IV,2,8,Rxe4,.. Bxf3+
Cosmos_IV,2,8,Kxf3,.. g4+
Cosmos_IV,2,9,Kg2,.. Kb7
Cosmos_IV,2,9,Nc3,.. Rd8
Cosmos_IV,2,10,Rae1,.. Bb4
Cosmos_IV,2,10,e6,.. Rhe8
Cosmos_IV,2,11,Ne2,.. Bxe1
Cosmos_IV,2,11,e7,.. Rd7
Cosmos_IV,2,12,Rxg4,.. Rdxe7
Cosmos_IV,2,12,Rf4,.. Rxe2
Cosmos_IV,2,13,b4,.. g5
Cosmos_IV,2,13,Rf5,.. Rg8
Cosmos_IV,2,14,a4,.. h4
Cosmos_IV,2,14,axb5,.. h3+
Cosmos_IV,2,15,Kxh3,.. g4+
Cosmos_IV,2,15,Kg3,.. axb5
Cosmos_IV,2,16,c4,.. bxc4
Cosmos_IV,2,16,b5,.. cxb5
Cosmos_IV,2,17,Rxb5+,.. Kc6
Cosmos_IV,2,17,Rc5+,.. Kxc5
Cosmos_IV,2,18,h4,.. Bxf2+
Cosmos_IV,3,1,d4,.. Nf6
Cosmos_IV,3,1,Nc3,.. d5
Cosmos_IV,3,2,Bg5,.. g6
Cosmos_IV,3,2,Nf3,.. Bg7
Cosmos_IV,3,3,Bxf6,.. Bxf6
Cosmos_IV,3,3,e4,.. O-O
Cosmos_IV,3,4,e5,.. Bg7
Cosmos_IV,3,4,Qd3,.. e6
Cosmos_IV,3,5,O-O-O,.. b6
Cosmos_IV,3,5,g3,.. Ba6
Cosmos_IV,3,6,Qe3,.. Bxf1
Cosmos_IV,3,6,Rhxf1,.. Nc6
Cosmos_IV,3,7,a3,.. a5
Cosmos_IV,3,7,Na2,.. Rb8
Cosmos_IV,3,8,b4,.. axb4
