Account,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,IsSunday,TimeOfDay,GameOfDay,GameOfWeek,TimeControl,EloDifference,Color,Result,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,TimeSinceLast
0,0,0,0,0,0,0,1,64347,2,2,600,154,1,0,0,0,0,1,0,0,0,1,0,0,0,35,36,274.9,205.2,7.85,5.7,548.9
0,0,0,0,0,0,0,1,64886,3,3,600,114,0,0,0,0,1,1,0,1,0,0,0,0,1,55,54,467.3,412.1,8.5,7.63,264.1
0,0,0,0,0,0,0,1,68542,4,4,600,-75,1,2,0,0,0,1,0,1,0,0,1,0,0,43,44,419.5,415.3,9.76,9.44,3188.7
0,0,0,0,0,0,0,1,69408,5,5,600,-117,1,2,0,0,0,1,0,0,0,1,1,0,0,37,38,339.3,335.6,9.17,8.83,446.5
0,0,0,0,0,0,0,1,70127,6,6,600,65,0,0,1,1,0,1,0,0,0,1,0,0,1,29,28,412.3,429.8,14.22,15.35,379.7
0,0,0,0,0,0,0,1,71523,7,7,600,-24,1,0,0,0,1,1,0,1,0,0,0,0,1,23,23,272.5,148.0,11.85,6.43,983.7
0,0,0,0,0,0,0,1,82083,8,8,600,-47,0,2,0,0,0,0,0,1,0,0,1,0,0,11,11,100.6,54.8,9.15,4.98,10287.5
0,0,0,0,0,0,0,1,82263,9,9,600,-134,1,0,0,0,0,1,0,0,0,1,1,0,0,28,28,348.4,260.0,12.44,9.29,79.4
0,0,0,0,0,0,0,1,82951,10,10,600,-4,1,0,1,0,1,1,0,1,0,0,0,0,1,63,63,595.7,493.0,9.46,7.83,339.6
0,1,0,0,0,0,0,0,56995,11,11,600,-17,0,2,1,1,0,1,0,1,0,0,1,0,0,24,24,248.9,245.9,10.37,10.25,59848.3
0,1,0,0,0,0,0,0,57514,12,12,600,-122,0,2,0,0,0,0,0,0,0,1,1,0,0,8,8,45.8,29.1,5.72,3.64,270.1
0,1,0,0,0,0,0,0,57613,13,13,600,16,0,0,1,1,0,1,0,0,0,1,0,0,1,38,38,490.5,516.2,12.91,13.58,53.2
0,0,1,0,0,0,0,0,55797,4,14,600,-106,1,2,0,0,0,1,0,1,0,0,0,0,1,29,30,203.1,71.3,7.0,2.38,84093.5
0,0,1,0,0,0,0,0,56107,5,15,600,1,1,0,0,0,0,0,0,0,0,1,1,0,0,27,27,327.3,371.0,12.12,13.74,106.9
0,0,1,0,0,0,0,0,58499,3,16,600,95,1,0,0,0,1,0,1,1,0,0,0,0,1,35,35,475.2,490.9,13.58,14.03,2064.7
0,0,1,0,0,0,0,0,59744,4,17,600,25,0,0,1,1,0,0,0,1,0,0,1,0,0,13,12,120.0,86.0,9.23,7.17,769.8
0,0,1,0,0,0,0,0,61042,5,18,600,-22,1,2,0,0,0,1,0,1,0,0,1,0,0,43,43,541.7,404.1,12.6,9.4,1178.0
0,0,1,0,0,0,0,0,61992,6,19,600,33,0,1,0,0,1,1,0,0,0,1,1,0,0,71,70,593.6,598.8,8.36,8.55,408.3
0,0,1,0,0,0,0,0,68873,7,20,600,-25,1,2,0,0,0,0,0,0,1,0,0,0,1,3,4,11.2,7.1,3.73,1.78,6287.4
0,0,1,0,0,0,0,0,68902,8,21,600,-43,1,2,1,0,1,0,1,0,0,1,0,1,0,19,20,237.0,299.0,12.47,14.95,17.8
0,0,1,0,0,0,0,0,69466,9,22,600,63,0,0,1,1,0,1,0,0,0,1,0,0,1,35,35,531.0,569.6,15.17,16.27,327.0
0,0,1,0,0,0,0,0,70579,10,23,600,-47,0,2,0,0,0,1,0,1,0,0,0,0,1,49,49,588.0,540.9,12.0,11.04,582.0
0,0,1,0,0,0,0,0,71749,11,24,600,10,0,2,0,1,0,1,0,0,0,1,1,0,0,50,50,336.7,199.7,6.73,3.99,582.0
0,0,1,0,0,0,0,0,72319,12,25,600,-50,1,2,0,0,1,1,0,0,0,1,0,0,1,26,27,206.6,208.6,7.95,7.73,233.3
0,0,0,1,0,0,0,0,2284,13,26,600,-56,1,2,1,1,0,0,0,0,0,1,0,0,1,30,31,364.0,401.9,12.13,12.96,16158.4
0,0,0,1,0,0,0,0,83342,2,27,600,-30,0,2,0,0,0,0,0,0,0,1,0,0,1,15,14,60.0,78.5,4.0,5.61,80694.0
0,0,0,1,0,0,0,0,83515,3,28,600,-27,1,1,0,0,1,1,0,0,0,1,0,0,1,60,61,534.0,446.2,8.9,7.31,113.0
0,0,0,0,1,0,0,0,54493,3,29,600,-33,1,2,0,0,0,0,0,0,1,0,0,0,1,13,14,74.1,62.1,5.7,4.44,56844.0
0,0,0,0,1,0,0,0,54650,4,30,600,-22,0,0,1,1,0,0,0,0,0,1,0,1,0,24,23,145.0,183.1,6.04,7.96,82.9
0,0,0,0,1,0,0,0,55001,5,31,600,-23,0,2,0,1,0,1,0,1,0,0,0,0,1,46,45,598.8,544.3,13.02,12.1,206.0
0,0,0,0,1,0,0,0,56192,6,32,600,-60,1,2,0,0,0,0,0,0,0,1,1,0,0,63,64,513.5,475.4,8.15,7.43,592.2
0,0,0,0,1,0,0,0,57237,7,33,600,-6,0,2,0,1,0,1,0,0,0,1,0,0,1,24,24,168.1,153.1,7.0,6.38,531.5
0,0,0,0,1,0,0,0,57585,8,34,600,-16,1,2,1,0,1,0,0,0,0,1,0,0,1,17,18,131.0,124.8,7.71,6.93,179.9
0,0,0,0,1,0,0,0,57859,9,35,600,-10,0,2,0,0,0,0,0,0,0,1,0,0,1,10,10,48.1,26.9,4.81,2.69,143.0
0,0,0,0,0,1,0,0,60695,1,36,600,28,1,0,0,0,0,0,0,0,0,1,0,0,1,14,14,144.4,79.8,10.31,5.7,89187.9
0,0,0,0,0,1,0,0,61017,2,37,600,7,1,2,0,1,0,1,0,1,0,0,0,0,1,24,25,391.7,410.5,16.32,16.42,177.6
0,0,0,0,0,1,0,0,61840,3,38,600,9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.1,0.1,0.1,0.1,431.3
0,0,0,0,0,1,0,0,61864,4,39,600,57,1,0,0,1,0,1,0,1,0,0,0,0,1,27,27,251.7,218.8,9.32,8.1,23.9
0,0,0,1,0,0,0,0,55155,1,14,600,-9,1,2,0,1,0,1,0,1,0,0,1,0,0,27,28,389.2,290.5,14.41,10.38,425039.3
0,0,0,1,0,0,0,0,55886,2,15,600,57,0,0,1,1,0,0,0,0,0,1,1,0,0,35,34,448.2,594.9,12.81,17.5,341.8
0,0,0,0,1,0,0,0,71708,1,1,600,3,0,0,1,1,0,1,0,1,0,0,0,0,1,25,24,228.6,277.3,9.14,11.55,706573.8
0,0,0,0,1,0,0,0,72250,2,2,600,-1,1,0,1,0,1,0,0,1,0,0,1,0,0,16,16,117.7,183.1,7.36,11.44,313.4
0,0,0,0,1,0,0,0,72590,3,3,600,-56,0,2,1,1,0,0,0,1,0,0,1,0,0,28,28,289.5,269.5,10.34,9.62,222.3
0,0,0,0,1,0,0,0,73174,4,4,600,-39,1,2,0,0,0,0,0,0,0,1,1,0,0,7,8,105.3,52.1,15.04,6.51,294.5
0,0,0,0,1,0,0,0,73332,5,5,600,55,0,0,1,1,0,1,0,0,0,1,0,0,1,44,43,583.4,557.0,13.26,12.95,52.7
0,0,0,0,0,1,0,0,6114,6,6,600,6,1,2,0,0,0,1,0,1,0,0,0,0,1,20,21,193.5,241.4,9.68,11.5,18598.6
0,0,0,0,0,1,0,0,6563,7,7,600,-53,0,2,1,1,0,0,0,0,0,1,1,0,0,8,8,62.9,21.8,7.86,2.72,255.5
0,0,0,0,0,1,0,0,6656,8,8,600,20,0,0,1,1,0,0,1,0,0,1,0,0,1,39,38,340.8,355.4,8.74,9.35,30.1
0,0,0,0,0,1,0,0,59194,9,9,600,11,1,2,1,0,1,1,0,1,0,0,0,0,1,17,18,158.9,108.8,9.35,6.04,52197.2
0,0,0,0,0,1,0,0,59480,10,10,600,28,0,0,0,0,0,0,0,0,0,1,1,0,0,30,29,207.2,341.5,6.91,11.78,127.1
0,0,0,0,0,1,0,0,64748,11,11,600,-48,1,2,0,0,1,1,0,1,0,0,0,0,1,25,26,241.2,91.7,9.65,3.53,5060.8
0,0,0,0,0,1,0,0,67495,12,12,600,-3,1,0,1,0,1,1,0,0,0,1,1,0,0,28,28,490.4,514.0,17.51,18.36,2505.8
0,0,0,0,1,0,0,0,83008,1,1,600,-81,0,2,1,1,0,0,0,1,0,0,0,0,1,14,14,102.9,59.0,7.35,4.21,4162222.6
0,0,0,0,1,0,0,0,83181,2,2,600,-45,1,2,0,1,0,1,0,0,0,1,1,0,0,18,19,196.6,100.4,10.92,5.28,70.1
0,0,0,0,1,0,0,0,83496,3,3,600,-37,0,2,0,0,0,0,0,0,0,1,0,0,1,7,7,45.1,22.9,6.44,3.27,118.4
0,0,0,0,1,0,0,0,83574,4,4,600,-127,0,2,1,1,0,0,0,0,0,1,0,0,1,42,42,415.8,259.1,9.9,6.17,32.9
0,0,0,0,0,0,1,0,86356,5,5,600,-261,1,2,0,0,0,0,0,0,0,1,0,0,1,12,13,112.7,127.1,9.39,9.78,-429633.8
0,0,0,0,0,0,0,1,303,6,6,600,-269,0,2,1,1,0,1,0,0,0,1,0,0,1,44,44,500.3,247.4,11.37,5.62,234.3
0,0,0,0,0,0,0,1,70181,7,7,600,-233,1,0,1,1,0,1,0,0,0,1,0,0,1,37,37,494.3,434.7,13.36,11.75,69377.7
0,0,0,0,0,0,0,1,71355,8,8,600,-241,0,2,1,0,1,1,0,1,0,0,0,0,1,26,26,309.1,375.9,11.89,14.46,679.7
0,0,0,0,0,0,0,1,72086,9,9,600,27,1,0,1,1,0,0,0,0,0,1,1,0,0,46,46,524.6,293.9,11.4,6.39,421.9
0,0,1,0,0,0,0,0,57634,5,10,600,-40,1,2,1,1,0,1,0,1,0,0,0,0,1,25,26,312.3,249.7,12.49,9.6,157823.4
0,0,1,0,0,0,0,0,58213,6,11,600,84,0,0,0,1,0,1,0,0,0,1,1,0,0,26,25,494.0,588.3,19.0,23.53,266.7
0,0,1,0,0,0,0,0,67948,7,12,600,-40,0,2,1,0,1,0,0,1,0,0,0,0,1,12,12,152.4,155.9,12.7,12.99,9241.0
0,0,1,0,0,0,0,0,68265,8,13,600,-31,0,2,0,1,0,0,1,0,0,1,1,0,0,47,47,443.2,342.7,9.43,7.29,164.6
0,0,1,0,0,0,0,0,69062,9,14,600,12,1,1,0,0,0,1,0,0,0,1,0,0,1,56,56,580.5,379.2,10.37,6.77,353.8
0,0,1,0,0,0,0,0,75401,10,15,600,-49,1,2,1,0,1,1,0,0,1,0,0,0,1,13,14,98.0,64.8,7.54,4.63,5758.5
0,0,1,0,0,0,0,0,75572,11,16,600,-41,1,2,0,0,0,1,0,0,0,1,0,1,0,17,18,190.3,164.0,11.19,9.11,73.0
0,0,1,0,0,0,0,0,75965,12,17,600,-12,0,2,1,1,0,0,0,0,0,1,0,0,1,32,32,532.9,499.0,16.65,15.59,202.7
0,0,1,0,0,0,0,0,82073,13,18,600,-4,1,0,1,1,0,1,0,0,0,1,0,0,1,30,30,553.6,553.7,18.45,18.46,5575.1
0,0,0,0,0,0,0,1,83093,1,1,600,355,0,0,1,1,0,1,0,1,0,0,0,0,1,44,43,583.3,599.9,13.26,13.95,1037266.4
0,0,0,0,0,0,0,1,84340,2,2,600,355,1,2,0,1,0,1,0,1,0,0,1,0,0,29,30,414.5,362.7,14.29,12.09,663.7
0,0,0,0,0,0,0,1,85154,3,3,600,355,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.1,4.7,0.1,4.7,399.5
