Account,GameNumber,MoveNumber,Move,Time
CosmosSolitarus,1,1,d4,0:10:00
CosmosSolitarus,1,1,d5,0:10:00
CosmosSolitarus,1,2,Bf4,0:09:56.6
CosmosSolitarus,1,2,Bf5,0:09:44
CosmosSolitarus,1,3,Nf3,0:09:46.7
CosmosSolitarus,1,3,Nf6,0:09:38.5
CosmosSolitarus,1,4,e3,0:09:22.1
CosmosSolitarus,1,4,e6,0:09:32.8
CosmosSolitarus,1,5,Bd3,0:09:13.6
CosmosSolitarus,1,5,Bxd3,0:09:19.4
CosmosSolitarus,1,6,Qxd3,0:09:12.6
CosmosSolitarus,1,6,Nc6,0:09:09.4
CosmosSolitarus,1,7,O-O,0:09:09.3
CosmosSolitarus,1,7,Nb4,0:09:00.2
CosmosSolitarus,1,8,Qc3,0:08:49.9
CosmosSolitarus,1,8,Ne4,0:08:47.3
CosmosSolitarus,1,9,Qe1,0:08:48.6
CosmosSolitarus,1,9,Nxc2,0:08:36
CosmosSolitarus,2,1,e4,0:10:00
CosmosSolitarus,2,1,e5,0:10:00
CosmosSolitarus,2,2,Bc4,0:09:57.9
CosmosSolitarus,2,2,Nc6,0:09:57.3
CosmosSolitarus,2,3,Nc3,0:09:30.8
CosmosSolitarus,2,3,Nf6,0:09:49
CosmosSolitarus,2,4,d3,0:09:28.1
CosmosSolitarus,2,4,Bb4,0:09:34.7
CosmosSolitarus,2,5,a3,0:09:19.4
CosmosSolitarus,2,5,Bxc3+,0:09:26.8
CosmosSolitarus,2,6,bxc3,0:09:16.7
CosmosSolitarus,2,6,O-O,0:09:26.1
CosmosSolitarus,2,7,Nf3,0:09:09.5
CosmosSolitarus,2,7,d6,0:09:16.5
CosmosSolitarus,2,8,d4,0:09:06.3
CosmosSolitarus,2,8,Re8,0:08:31.8
CosmosSolitarus,2,9,Ng5,0:09:00.8
CosmosSolitarus,2,9,Be6,0:07:59.4
CosmosSolitarus,2,10,Nxe6,0:08:35.6
CosmosSolitarus,2,10,fxe6,0:07:58.2
CosmosSolitarus,2,11,Bb5,0:08:29.3
CosmosSolitarus,2,11,Re7,0:07:32
CosmosSolitarus,2,12,Bxc6,0:08:21.7
CosmosSolitarus,2,12,bxc6,0:07:31.2
CosmosSolitarus,2,13,Bg5,0:08:20
CosmosSolitarus,2,13,h6,0:07:22.4
CosmosSolitarus,2,14,Bxf6,0:08:02.7
CosmosSolitarus,2,14,gxf6,0:07:21.4
CosmosSolitarus,2,15,O-O,0:07:45.2
CosmosSolitarus,2,15,Rb8,0:07:03.1
CosmosSolitarus,2,16,dxe5,0:07:31.1
CosmosSolitarus,2,16,dxe5,0:06:51.7
CosmosSolitarus,2,17,Qg4+,0:07:25.8
CosmosSolitarus,2,17,Rg7,0:06:49.7
CosmosSolitarus,2,18,Qxe6+,0:07:16.5
CosmosSolitarus,2,18,Kh8,0:06:38
CosmosSolitarus,2,19,Qxc6,0:07:04.3
CosmosSolitarus,2,19,Rb6,0:06:37
CosmosSolitarus,2,20,Qc5,0:06:43
CosmosSolitarus,2,20,Qb8,0:06:12.9
CosmosSolitarus,2,21,g3,0:06:35.4
CosmosSolitarus,2,21,Rb2,0:06:08.5
CosmosSolitarus,2,22,Qc6,0:06:02.3
CosmosSolitarus,2,22,Qd8,0:05:36.2
CosmosSolitarus,2,23,Rfd1,0:05:30.8
CosmosSolitarus,2,23,Qe7,0:05:24.2
CosmosSolitarus,2,24,Rd7,0:05:06.9
CosmosSolitarus,2,24,Qxd7,0:05:07.7
CosmosSolitarus,2,25,Qxf6,0:04:58.4
CosmosSolitarus,2,25,Rxc2,0:04:58.6
CosmosSolitarus,2,26,Qxe5,0:04:44.1
CosmosSolitarus,2,26,Rd2,0:04:33.5
CosmosSolitarus,2,27,Kg2,0:04:33.2
CosmosSolitarus,2,27,Rc2,0:04:03
CosmosSolitarus,2,28,Rb1,0:04:24.5
CosmosSolitarus,2,28,Qd3,0:03:56.8
CosmosSolitarus,2,29,Rb8+,0:04:09.9
CosmosSolitarus,2,29,Kh7,0:03:55.2
CosmosSolitarus,2,30,Qf5+,0:04:00
CosmosSolitarus,2,30,Rg6,0:03:53
CosmosSolitarus,2,31,Qf7+,0:03:54.5
CosmosSolitarus,2,31,Rg7,0:03:51.9
CosmosSolitarus,2,32,Qf5+,0:03:52.5
CosmosSolitarus,2,32,Rg6,0:03:43.2
CosmosSolitarus,2,33,Qf7+,0:03:51.1
CosmosSolitarus,2,33,Rg7,0:03:42.2
CosmosSolitarus,2,34,Qf5+,0:03:49.4
CosmosSolitarus,3,1,e4,0:05:00
CosmosSolitarus,3,1,e5,0:04:59.9
CosmosSolitarus,3,2,Nf3,0:04:59.1
CosmosSolitarus,3,2,Nc6,0:04:58.7
CosmosSolitarus,3,3,Bb5,0:04:58.3
CosmosSolitarus,3,3,d6,0:04:52.2
CosmosSolitarus,3,4,Nc3,0:04:55.7
CosmosSolitarus,3,4,Bd7,0:04:50
CosmosSolitarus,3,5,a3,0:04:54.1
CosmosSolitarus,3,5,a6,0:04:47.6
CosmosSolitarus,3,6,Ba4,0:04:52.3
CosmosSolitarus,3,6,Nf6,0:04:34.5
CosmosSolitarus,3,7,d3,0:04:50.5
CosmosSolitarus,3,7,Be7,0:04:24
CosmosSolitarus,3,8,Bg5,0:04:49.2
CosmosSolitarus,3,8,O-O,0:04:15.5
CosmosSolitarus,3,9,Nh4,0:04:37.8
CosmosSolitarus,3,9,h6,0:04:06.3
CosmosSolitarus,3,10,Bxf6,0:04:24.5
CosmosSolitarus,3,10,Bxf6,0:04:05.3
CosmosSolitarus,3,11,Nf5,0:04:23.4
CosmosSolitarus,3,11,Bxf5,0:03:53.5
CosmosSolitarus,3,12,exf5,0:04:21.9
CosmosSolitarus,3,12,Nd4,0:03:51.8
CosmosSolitarus,3,13,g4,0:04:17.1
CosmosSolitarus,3,13,b5,0:03:27.2
CosmosSolitarus,3,14,Bb3,0:04:12.2
CosmosSolitarus,3,14,c5,0:03:23.3
CosmosSolitarus,3,15,Nd5,0:04:09.3
CosmosSolitarus,3,15,Rc8,0:03:07.8
CosmosSolitarus,3,16,c3,0:03:56.4
CosmosSolitarus,3,16,Nxb3,0:02:57.3
CosmosSolitarus,3,17,Qxb3,0:03:55
CosmosSolitarus,3,17,c4,0:02:56.9
CosmosSolitarus,3,18,dxc4,0:03:49.3
CosmosSolitarus,3,18,bxc4,0:02:56.1
CosmosSolitarus,3,19,Qc2,0:03:48.9
CosmosSolitarus,3,19,Rc5,0:02:52
CosmosSolitarus,3,20,Ne3,0:03:43.6
CosmosSolitarus,3,20,Bg5,0:02:37.9
CosmosSolitarus,3,21,O-O-O,0:03:41
CosmosSolitarus,3,21,d5,0:02:30.7
CosmosSolitarus,3,22,Kb1,0:03:38.5
CosmosSolitarus,3,22,Bxe3,0:02:21.5
CosmosSolitarus,3,23,fxe3,0:03:36.6
CosmosSolitarus,3,23,Qg5,0:02:18.7
CosmosSolitarus,3,24,h3,0:03:24.9
CosmosSolitarus,3,24,Qxe3,0:02:14.4
CosmosSolitarus,3,25,Rde1,0:03:24.4
CosmosSolitarus,3,25,Qg5,0:02:11.5
CosmosSolitarus,3,26,Rxe5,0:03:22.3
CosmosSolitarus,3,26,a5,0:02:03.1
CosmosSolitarus,3,27,Rd1,0:03:18.6
CosmosSolitarus,3,27,Qf6,0:02:01.2
CosmosSolitarus,3,28,Rexd5,0:03:16.6
CosmosSolitarus,3,28,Rxd5,0:01:53.4
CosmosSolitarus,3,29,Rxd5,0:03:15.1
CosmosSolitarus,3,29,Qb6,0:01:52.3
CosmosSolitarus,3,30,Qe4,0:03:02.5
CosmosSolitarus,3,30,Qg1+,0:01:35
CosmosSolitarus,3,31,Ka2,0:03:00.3
CosmosSolitarus,3,31,Qa7,0:01:21.6
CosmosSolitarus,3,32,Qxc4,0:02:56.8
CosmosSolitarus,3,32,Re8,0:01:21.2
CosmosSolitarus,3,33,Qa4,0:02:49.7
CosmosSolitarus,3,33,Ra8,0:01:12.8
CosmosSolitarus,3,34,h4,0:02:44.8
CosmosSolitarus,3,34,Kf8,0:01:09
