Account,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,IsSunday,TimeOfDay,GameOfDay,GameOfWeek,TimeControl,EloDifference,Color,Result,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,TimeSinceLast,DailyWinPerc,DailyLossPerc,DailyDrawPerc,WeeklyWinPerc,WeeklyLossPerc,WeeklyDrawPerc,ECO_A00,ECO_A40,ECO_A45,ECO_B10,ECO_B12,ECO_B13,ECO_D00,ECO_D02,ECO_D10,ECO_Other
0,0,0,0,0,0,0,1,64886,3,3,600,114,0,0,0,0,1,1,0,1,0,0,0,0,1,54,54,467.3,412.1,8.65,7.63,264.1,50.0,50.0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,68542,4,4,600,-75,1,2,0,0,0,1,0,1,0,0,1,0,0,43,44,419.5,415.3,9.76,9.44,3188.7,66.67,33.33,0.0,66.67,33.33,0.0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,69408,5,5,600,-117,1,2,0,0,0,1,0,0,0,1,1,0,0,37,38,339.3,335.6,9.17,8.83,446.5,50.0,50.0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,70127,6,6,600,65,0,0,1,1,0,1,0,0,0,1,0,0,1,29,28,412.3,429.8,14.22,15.35,379.7,40.0,60.0,0.0,40.0,60.0,0.0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,71523,7,7,600,-24,1,0,0,0,1,1,0,1,0,0,0,0,1,23,23,272.5,148.0,11.85,6.43,983.7,50.0,50.0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,82083,8,8,600,-47,0,2,0,0,0,0,0,1,0,0,1,0,0,11,11,100.6,54.8,9.15,4.98,10287.5,57.14,42.86,0.0,57.14,42.86,0.0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,82263,9,9,600,-134,1,0,0,0,0,1,0,0,0,1,1,0,0,28,28,348.4,260.0,12.44,9.29,79.4,50.0,50.0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,82951,10,10,600,-4,1,0,1,0,1,1,0,1,0,0,0,0,1,62,62,595.7,493.0,9.61,7.95,339.6,55.56,44.44,0.0,55.56,44.44,0.0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,56995,11,11,600,-17,0,2,1,1,0,1,0,1,0,0,1,0,0,24,24,248.9,245.9,10.37,10.25,59848.3,60.0,40.0,0.0,60.0,40.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,57514,12,12,600,-122,0,2,0,0,0,0,0,0,0,1,1,0,0,8,8,45.8,29.1,5.72,3.64,270.1,54.55,45.45,0.0,54.55,45.45,0.0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,57613,13,13,600,16,0,0,1,1,0,1,0,0,0,1,0,0,1,38,38,490.5,516.2,12.91,13.58,53.2,50.0,50.0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,1,0,0,0
